property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_count,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,instant_bookable,host_identity_verified,host_since,cancellation_policy,latitude,longitude,guests_included,extra_people,price
Condominium,Entire home/apt,8,3,4,4,35,8,986,7,2,1.9,10,5,4,15,0,1,1616,flexible,40.63270971,-73.93127043,2,40,391
Loft,Entire home/apt,7,4,1,2,19,4,357,14,2,2.8,10,46,30,144,1,0,881,strict_14_with_grace_period,40.79316746,-73.96826002,2,37,311
House,Private room,3,1,3,4,46,3,1118,15,1,2,13,28,59,338,0,1,2619,strict_14_with_grace_period,40.79695876,-73.92141033,3,48,457
Apartment,Entire home/apt,6,2,3,2,19,6,319,10,3,2.4,19,27,66,359,1,1,1355,strict_14_with_grace_period,40.7594411,-73.97482869,2,30,349
Condominium,Entire home/apt,8,2,4,3,33,9,827,5,4,2.7,29,59,NA,3,0,1,3573,moderate,40.8731328,-73.82636646,3,24,360
Condominium,Private room,9,1,2,2,42,8,241,16,2,3.7,2,19,71,240,1,1,3632,strict_14_with_grace_period,40.85753268,-73.94588038,4,7,313
Bed & Breakfast,Entire home/apt,7,3,3,4,22,9,45,11,4,0.1,24,11,74,149,0,1,1435,strict,40.83217882,-73.74029215,2,31,394
Loft,Hotel room,3,4,3,3,33,6,879,9,1,4,29,55,67,77,1,1,2956,flexible,40.7349502,-73.78235381,2,46,293
Loft,Hotel room,3,3,2,3,40,3,837,8,3,4.3,11,39,69,83,0,1,3267,strict_14_with_grace_period,40.84280785,-73.74696644,4,39,288
Loft,Entire home/apt,3,4,3,2,8,1,841,7,4,4.9,0,25,14,15,0,1,2584,strict,40.72632981,-73.76430787,1,20,234
Condominium,Entire home/apt,7,2,3,3,14,7,1043,9,2,1.7,20,50,74,186,1,0,3117,moderate,40.55895253,-73.92345499,3,12,405
Apartment,Entire home/apt,1,3,1,2,19,1,917,12,3,4,30,16,NA,151,0,1,2785,strict,40.59177468,-73.92391374,1,47,246
Apartment,Entire home/apt,4,4,5,4,15,9,292,19,4,1.5,20,0,2,67,0,1,3285,flexible,40.80860951,-73.97115549,2,35,359
Apartment,Hotel room,2,3,4,5,49,3,803,7,3,1.6,5,58,36,22,1,1,2096,strict_14_with_grace_period,40.55383584,-73.71254455,4,24,347
Bed & Breakfast,Entire home/apt,NA,2,4,5,31,3,687,3,4,0.1,NA,39,30,308,1,1,554,strict,40.53930207,-73.81543245,3,43,334
Townhouse,Entire home/apt,2,3,4,4,44,6,412,10,2,2.4,11,2,40,161,1,1,671,flexible,40.51463125,-73.94829066,3,26,352
Bed & Breakfast,Private room,7,4,4,3,21,7,598,13,4,2.6,30,0,39,316,1,1,3244,strict_14_with_grace_period,40.66065365,-73.78829944,1,35,351
Loft,Entire home/apt,1,3,3,3,36,8,544,11,4,2.6,8,60,45,50,1,1,130,strict,40.63152766,-73.97826142,1,41,245
Apartment,Entire home/apt,3,2,92,5,8,2,272,9,2,4.1,4,37,14,68,0,1,2043,strict,40.86069119,-73.92260623,4,19,264
Townhouse,Entire home/apt,4,2,5,4,16,4,1006,13,5,4.1,14,14,90,214,0,1,241,flexible,40.65593631,-73.72668411,2,43,322
Loft,Entire home/apt,4,2,2,3,12,1,1037,16,1,2.1,17,9,15,258,1,0,2594,strict,40.59655706,-73.92040119,3,34,248
Apartment,Entire home/apt,5,2,1,1,11,4,1055,9,1,4.3,8,23,34,66,0,1,1385,strict_14_with_grace_period,40.8804946,-73.8058154,1,13,211
Apartment,Entire home/apt,4,2,4,3,19,2,1035,7,1,2.1,6,41,26,265,1,1,2726,flexible,40.76803019,-73.82230086,4,33,251
Apartment,Private room,6,3,1,1,13,8,44,8,2,3.1,28,36,6,330,0,1,1540,moderate,40.68968933,-73.99210866,1,18,307
Loft,Entire home/apt,7,4,5,5,49,2,1085,6,4,3.8,16,18,12,13,0,1,2345,strict_14_with_grace_period,40.68807716,-73.7056146,4,16,515
House,Entire home/apt,2,3,2,2,32,3,467,9,4,2.7,18,12,65,138,1,1,2035,strict,40.8627015,-73.72999692,2,11,310
Condominium,Entire home/apt,8,3,3,3,13,7,230,8,4,3.6,22,23,41,21,0,1,575,strict,40.52660173,-73.77866671,2,5,451
Townhouse,Hotel room,4,4,1,2,24,5,914,8,3,1.9,1,51,90,28,0,1,2114,flexible,40.83827575,-73.94128875,2,32,312
Townhouse,Entire home/apt,1,2,5,4,33,2,1092,5,3,0.2,13,55,32,193,0,1,2253,moderate,40.56963145,-73.80174604,4,14,357
Loft,Shared room,3,3,2,3,28,3,769,9,4,0.3,25,25,13,172,1,1,664,strict_14_with_grace_period,40.74179797,-73.941742,2,1,183
Apartment,Entire home/apt,9,NA,2,1,9,4,372,8,2,5,23,7,64,168,0,0,2072,flexible,40.83425865,-73.76669924,2,32,413
Bed & Breakfast,Entire home/apt,5,1,4,NA,37,6,208,10,1,2.3,12,1,47,364,0,1,1780,flexible,40.73758878,-73.86653999,2,9,317
Condominium,Entire home/apt,7,4,1,1,34,1,1024,14,3,3.3,20,10,53,362,1,1,2263,moderate,40.71129255,-73.89568363,3,48,326
Loft,Entire home/apt,9,4,1,1,10,2,882,6,3,2.5,29,5,47,33,0,1,3436,strict_14_with_grace_period,40.82398738,-73.75776149,3,49,301
Townhouse,Entire home/apt,5,1,2,3,26,9,1074,12,2,NA,14,2,42,238,0,1,1973,moderate,40.73530549,-73.98900761,4,25,320
Bed & Breakfast,Entire home/apt,6,1,3,3,26,1,1057,11,1,2.6,30,58,35,173,0,1,2741,moderate,40.58832289,-73.73215026,2,9,259
House,Entire home/apt,4,2,1,2,8,4,1084,7,3,2.6,10,11,72,15,1,1,686,strict,40.7570144,-73.75914776,4,32,136
Apartment,Entire home/apt,2,4,1,2,29,3,839,12,3,2.3,20,15,6,137,0,0,82,flexible,40.68324298,-73.71170057,3,48,309
Apartment,Entire home/apt,6,2,4,5,6,9,824,9,3,1.9,19,33,1,80,0,1,3532,strict_14_with_grace_period,40.64315735,-73.82296736,4,44,259
Apartment,Entire home/apt,4,1,5,4,37,6,980,9,3,2.1,5,46,30,306,1,1,3522,strict_14_with_grace_period,40.81433,-73.81286853,3,5,371
Condominium,Shared room,1,2,4,5,24,4,794,6,3,3.2,9,28,78,99,1,1,3068,strict_14_with_grace_period,40.68559353,-73.98077897,1,0,330
House,Entire home/apt,2,2,1,1,45,3,867,6,3,1,25,5,74,339,0,0,2384,strict_14_with_grace_period,40.60661656,-73.84696624,4,39,270
Townhouse,Entire home/apt,8,2,1,1,34,7,1103,2,2,2.3,9,49,55,327,0,1,1702,moderate,40.60154415,-73.74181396,2,22,332
Loft,Entire home/apt,2,4,2,3,28,8,148,6,4,1.2,26,41,19,339,0,0,2265,strict_14_with_grace_period,40.75058201,-73.93850407,4,15,377
Loft,Entire home/apt,3,4,1,1,34,6,661,16,5,1.4,9,24,36,163,1,1,2032,flexible,40.71038099,-73.94929591,2,19,335
Townhouse,Hotel room,5,1,2,2,8,8,157,7,2,0.2,19,27,15,34,1,1,3073,strict_14_with_grace_period,40.84511466,-73.89848761,2,5,210
Apartment,Private room,9,4,1,1,18,7,1052,10,2,4,25,11,38,113,0,1,480,flexible,40.80966764,-73.79530533,1,13,418
Loft,Entire home/apt,2,2,1,1,43,1,835,15,5,4.8,14,32,50,331,0,1,3181,moderate,40.79466934,-73.73532535,1,28,244
Apartment,Entire home/apt,4,1,1,2,38,3,183,7,2,3.1,3,2,81,217,0,0,3376,flexible,40.6541206,-73.90379372,3,39,308
Bed & Breakfast,Entire home/apt,1,1,1,2,43,8,398,8,5,3.3,2,24,68,47,1,1,3346,strict,40.75168454,-73.90471176,1,10,239
Apartment,Entire home/apt,7,1,3,2,23,7,197,3,5,4.8,10,7,62,319,0,1,1995,moderate,40.5290988,-73.98968803,1,43,243
Townhouse,Entire home/apt,5,2,1,2,13,3,470,9,2,1.2,22,4,79,197,0,1,2785,strict,40.77798705,-73.85839979,4,49,223
Bed & Breakfast,Entire home/apt,1,4,2,3,8,2,638,11,2,1.9,18,31,3,287,1,1,1887,strict_14_with_grace_period,40.86380949,-73.72981689,4,21,234
Condominium,Private room,8,3,1,2,39,3,867,7,2,1.6,3,30,69,1,0,1,729,strict,40.8426844,-73.8769846,4,30,266
Apartment,Private room,8,3,3,4,48,8,704,7,3,0,17,46,33,111,0,0,3243,strict,40.50130654,-73.99436728,2,47,319
Bed & Breakfast,Private room,7,2,1,2,47,4,908,9,2,3.5,0,60,76,223,1,0,1028,flexible,40.66913001,-73.94537572,3,3,369
House,Entire home/apt,3,2,5,6,5,4,1051,10,3,4.2,14,6,32,171,0,1,199,flexible,40.65468946,-73.96685274,4,26,258
Bed & Breakfast,Private room,5,2,2,3,15,2,1064,10,2,3.4,21,46,49,272,1,1,489,moderate,40.77465003,-73.76782929,1,37,268
Bed & Breakfast,Entire home/apt,1,1,5,4,40,6,891,11,4,4.5,22,43,4,199,0,1,213,flexible,40.74933955,-73.90244872,1,49,343
Loft,Entire home/apt,7,4,2,2,37,6,381,14,5,0.5,7,53,15,135,0,1,3627,strict_14_with_grace_period,40.50057896,-73.74271924,1,48,301
Bed & Breakfast,Entire home/apt,9,2,4,4,15,4,943,13,NA,4,3,29,45,312,1,1,354,moderate,40.69698154,-73.70107922,4,2,445
House,Hotel room,7,4,2,2,42,1,355,16,5,3.4,6,15,44,52,1,0,313,moderate,40.83881172,-73.86018468,3,46,404
Townhouse,Entire home/apt,1,2,3,2,31,3,958,16,2,4.2,29,56,36,328,0,1,190,flexible,40.50526148,-73.76361979,3,44,337
Townhouse,Entire home/apt,7,1,4,4,48,8,93,9,4,2,7,24,69,36,1,0,1359,strict,40.78068453,-73.90196165,2,6,331
Condominium,Entire home/apt,7,3,4,3,42,7,212,10,3,2.8,5,47,35,309,0,1,2521,moderate,40.84076751,-73.80943053,1,6,330
Townhouse,Private room,3,3,5,5,6,9,624,17,1,1.2,26,24,81,133,1,1,1704,moderate,40.87647364,-73.82526003,3,31,309
House,Shared room,1,4,3,3,25,5,932,12,1,0.5,7,36,14,114,1,1,2006,strict_14_with_grace_period,40.62495121,-73.83683867,4,39,284
Apartment,Private room,1,4,5,5,29,4,978,10,3,2.1,21,56,30,31,1,1,3141,strict,40.77093007,-73.80922759,NA,31,383
Bed & Breakfast,Entire home/apt,6,2,5,6,33,1,222,10,2,3.1,8,19,67,19,1,1,3474,strict_14_with_grace_period,40.50301552,-73.8785134,2,48,280
Apartment,Entire home/apt,5,3,1,1,37,2,834,6,2,3,7,3,39,2,1,1,2744,strict,40.66133998,-73.84549245,2,7,373
Bed & Breakfast,Entire home/apt,4,2,4,5,12,1,625,12,1,1.2,2,44,11,286,0,1,1525,flexible,40.89888076,-73.79828726,2,34,263
Apartment,Private room,4,3,4,5,12,3,57,5,5,4.5,25,6,85,82,0,1,1828,strict_14_with_grace_period,40.50624852,-73.96444198,3,24,187
Condominium,Entire home/apt,7,2,4,5,7,4,30,10,4,3.1,7,41,86,90,0,1,3557,strict_14_with_grace_period,40.8755154,-73.98716025,3,20,351
Loft,Entire home/apt,6,4,2,1,21,3,294,9,3,0.3,22,51,88,62,1,0,2944,moderate,40.50533803,-73.85500179,3,23,337
House,Private room,2,4,2,3,14,6,865,13,4,2.6,16,19,43,67,1,1,1603,moderate,40.69368046,-73.89952094,4,16,254
House,Entire home/apt,9,1,1,1,44,5,320,8,5,0.9,19,28,52,82,0,1,1082,strict_14_with_grace_period,40.8310944,-73.82338762,4,10,294
House,Entire home/apt,2,2,2,1,21,4,247,17,2,2.3,23,30,86,32,1,1,743,flexible,40.56874215,-73.87368576,2,42,262
House,Private room,5,2,2,2,31,2,304,9,2,0.2,5,5,79,65,0,1,737,flexible,40.77366264,-73.93658957,2,23,276
Loft,Entire home/apt,8,3,1,2,21,3,1035,9,2,2.7,22,39,50,42,1,0,3178,moderate,40.58611645,-73.74277944,2,0,309
Loft,Entire home/apt,7,1,2,2,8,6,113,12,5,1.5,28,1,62,142,0,1,1679,NA,40.84759409,-73.97478311,4,1,268
Townhouse,Entire home/apt,1,2,4,4,28,9,503,13,4,2.9,11,25,10,89,0,1,705,strict,40.58557517,-73.84434413,1,29,302
Apartment,Private room,8,1,3,4,43,6,39,5,4,4,13,41,47,7,0,1,1659,flexible,40.89111873,NA,1,44,320
Condominium,Entire home/apt,3,1,4,3,25,4,1100,11,2,2.6,7,26,14,322,0,1,3017,flexible,40.57006171,-73.88088248,3,42,308
Bed & Breakfast,Entire home/apt,2,2,2,1,23,1,777,7,3,4.2,19,42,50,32,0,1,447,strict_14_with_grace_period,40.79369402,-73.73670159,2,37,275
Townhouse,Entire home/apt,6,2,5,4,24,4,1063,10,5,0.4,10,40,53,269,1,1,1088,flexible,40.89358158,-73.8867695,2,34,301
Bed & Breakfast,Entire home/apt,7,3,1,1,41,7,281,12,4,4.5,23,28,61,10,1,1,1153,strict_14_with_grace_period,40.58091594,-73.8393305,3,16,273
Loft,Entire home/apt,3,2,1,1,31,8,1046,12,2,0.9,20,41,65,58,0,1,334,strict,40.84762034,-73.85002243,3,2,136
House,Hotel room,3,2,2,1,37,2,768,15,2,3.6,16,14,81,80,0,0,1017,strict_14_with_grace_period,40.55397797,-73.81210527,2,14,343
House,Private room,2,1,2,3,9,3,965,15,3,1.3,25,55,66,243,0,1,2755,strict,40.76366701,-73.99759357,3,41,287
Apartment,Entire home/apt,5,2,5,5,24,7,302,6,2,3.8,3,5,54,48,0,0,375,moderate,40.71177046,-73.93250117,4,28,354
Condominium,Entire home/apt,6,1,5,4,38,1,404,14,1,0.5,6,60,42,144,0,1,2511,strict_14_with_grace_period,40.53312696,-73.9329187,3,33,387
Loft,Private room,9,3,3,4,26,2,1105,12,3,0.6,14,45,23,256,1,1,2995,strict_14_with_grace_period,40.56350114,-73.72684938,4,38,419
Bed & Breakfast,Entire home/apt,3,4,2,3,24,5,372,7,4,3,25,5,48,101,0,1,3018,flexible,40.62217034,-73.91415279,3,41,319
House,Hotel room,2,2,1,1,30,9,959,11,4,1.5,28,33,85,54,0,1,318,flexible,40.67079638,-73.88986236,2,49,296
Apartment,Private room,6,4,2,1,11,1,451,8,2,2.3,28,30,88,171,0,1,2262,strict_14_with_grace_period,40.62571051,-73.75450667,2,19,236
House,Entire home/apt,1,4,1,1,9,9,479,12,4,4.5,8,40,54,188,0,1,2444,flexible,40.79637201,-73.7673468,2,17,260
Condominium,Entire home/apt,5,1,5,4,28,6,709,7,2,3.1,25,51,82,126,1,1,3463,flexible,40.86478034,-73.75477793,2,48,277
Apartment,Hotel room,4,2,3,3,22,1,204,12,4,1.3,7,21,75,206,1,0,1369,flexible,40.80913597,-73.92035919,3,12,315
Condominium,Entire home/apt,2,2,3,2,35,3,76,12,4,2.5,6,34,31,323,1,NA,3583,strict_14_with_grace_period,40.54117635,-73.99488893,1,27,319
Condominium,Entire home/apt,3,1,1,1,9,5,1060,12,1,3.4,30,54,38,267,1,1,1775,strict_14_with_grace_period,40.84016449,-73.83516508,3,40,97
Loft,Entire home/apt,6,3,5,6,36,9,607,11,2,0.8,6,60,29,80,1,1,2657,strict,40.5091827,-73.76453877,3,18,433
Townhouse,Entire home/apt,6,2,2,1,27,8,343,9,2,1.5,19,35,80,98,0,1,611,strict_14_with_grace_period,40.789091,-73.85680891,4,12,313
Loft,Entire home/apt,9,1,4,5,16,2,729,9,2,2,12,26,67,252,0,1,1904,strict_14_with_grace_period,40.56153788,-73.93343123,4,11,371
House,Entire home/apt,3,4,2,3,49,6,297,9,2,1.8,NA,8,77,163,1,1,2640,strict_14_with_grace_period,40.6913274,-73.89002605,2,24,425
Bed & Breakfast,Hotel room,3,2,2,2,46,6,598,9,4,0.4,0,0,82,252,0,1,2934,strict,40.8862659,-73.74966823,2,21,364
Apartment,Entire home/apt,6,1,4,5,18,3,806,8,2,0.9,15,55,50,34,0,1,724,moderate,40.86859056,-73.75847891,2,14,300
Bed & Breakfast,Entire home/apt,8,3,2,3,42,9,1050,9,3,3.2,18,42,49,25,1,1,NA,strict,40.61977332,-73.96761276,4,0,267
Condominium,Entire home/apt,1,3,2,3,37,4,184,7,1,2,15,20,82,100,0,1,2054,flexible,40.74094161,-73.96026528,3,46,324
Apartment,Entire home/apt,4,1,5,4,23,5,1101,10,5,0.8,3,37,81,219,1,1,1670,moderate,40.7195315,-73.74361408,1,48,304
Bed & Breakfast,Entire home/apt,1,4,4,5,47,5,697,10,2,2.8,4,0,27,158,1,1,1381,strict_14_with_grace_period,40.62436959,-73.80767297,3,43,353
Condominium,Private room,2,3,5,5,20,4,795,5,3,1.1,29,54,54,284,0,1,860,flexible,40.7196116,-73.95053352,3,47,274
Townhouse,Entire home/apt,7,1,3,2,43,8,647,13,3,3,14,27,65,153,0,1,2025,strict,40.82143327,-73.89474609,3,12,330
Loft,Entire home/apt,4,2,2,3,40,2,534,9,1,1,11,46,65,27,0,1,2895,strict,40.84967635,-73.86442666,4,24,319
Townhouse,Entire home/apt,5,3,4,4,35,7,1081,8,1,3,0,39,38,176,1,1,572,strict,40.7117328,-73.79274157,3,48,394
Bed & Breakfast,Entire home/apt,7,3,1,1,14,6,382,13,3,1.3,7,29,NA,103,1,0,2076,flexible,40.88984743,-73.94193033,3,42,264
Apartment,Entire home/apt,5,2,1,2,25,7,1103,10,3,2.4,27,42,72,289,1,1,3046,strict_14_with_grace_period,40.50938786,-73.78976674,3,48,270
House,Entire home/apt,4,2,1,1,42,1,41,7,3,2.2,13,57,16,250,0,1,489,strict_14_with_grace_period,40.89693893,-73.99628153,3,43,235
House,Private room,1,4,4,4,28,4,704,6,2,2.3,19,1,77,216,1,1,1903,flexible,40.83023053,-73.87914562,1,6,358
Bed & Breakfast,Entire home/apt,4,3,2,1,7,NA,250,13,4,2,16,36,84,267,1,1,3453,strict,40.57828094,NA,1,21,321
Loft,Entire home/apt,7,4,5,5,6,7,573,10,3,4.4,16,0,72,212,1,1,939,moderate,40.73056197,-73.78193065,4,37,356
Townhouse,Entire home/apt,4,3,1,1,9,1,NA,9,1,1.3,3,57,69,90,0,1,3253,flexible,40.72883621,-73.81047787,3,34,284
Condominium,Entire home/apt,2,4,3,2,10,2,748,14,1,2.6,23,32,37,236,1,1,2283,moderate,40.88975679,-73.71235201,4,28,262
House,Entire home/apt,8,3,1,1,7,6,425,7,5,0.2,16,12,2,121,1,1,1407,strict,40.86636032,-73.95656287,1,1,347
Apartment,Entire home/apt,2,3,2,3,46,5,682,9,4,2.8,12,3,21,338,0,1,69,strict,40.54552032,-73.79122159,3,21,351
Apartment,Entire home/apt,9,1,2,1,38,7,446,4,5,2.7,21,60,89,341,0,1,3248,strict,40.72719648,-73.74295014,2,35,348
Townhouse,Entire home/apt,5,2,4,5,42,7,933,9,5,4.6,28,44,38,143,0,1,3374,strict_14_with_grace_period,40.81069724,-73.99458231,4,30,312
House,Private room,3,4,1,1,46,6,741,14,3,0.7,10,49,24,121,1,0,1308,flexible,40.89387092,-73.84327655,3,36,342
Condominium,Entire home/apt,2,2,4,4,22,6,876,13,1,1.3,7,21,52,97,1,1,1198,strict_14_with_grace_period,40.73175264,-73.82479136,3,7,349
House,Private room,2,3,5,6,37,5,1075,8,1,4.6,3,22,3,246,1,1,967,moderate,40.79865545,-73.82408057,2,15,313
Condominium,Entire home/apt,5,4,5,4,30,6,958,13,1,0.9,30,47,83,341,0,1,71,moderate,40.52209465,-73.94981666,3,47,383
Bed & Breakfast,Entire home/apt,8,3,1,1,27,3,33,16,2,0.3,29,0,79,128,0,1,3047,moderate,40.61701872,-73.95319024,1,21,301
Condominium,Private room,1,4,1,2,15,1,842,11,5,4.4,5,3,45,301,1,1,1064,flexible,40.75913535,-73.96449819,4,NA,183
Loft,Entire home/apt,3,2,4,4,47,3,354,11,4,2.1,2,24,78,150,1,1,2375,strict,40.68032883,-73.79483679,2,25,293
Townhouse,Hotel room,8,1,5,6,23,7,1104,8,3,5,20,53,70,44,1,0,3383,moderate,40.66863033,-73.87581595,3,14,368
Bed & Breakfast,Entire home/apt,9,2,4,3,28,1,1002,11,4,2.7,14,5,24,259,1,1,2658,strict_14_with_grace_period,40.86623939,-73.71290616,3,14,445
Loft,Entire home/apt,5,1,3,4,31,8,892,10,2,2.7,26,60,16,67,1,1,2291,strict,40.59855656,-73.82550348,4,2,208
Townhouse,Entire home/apt,9,4,5,6,41,3,67,8,3,1.1,30,52,30,223,1,1,3477,moderate,40.79856698,-73.79163289,1,23,403
Loft,Entire home/apt,6,2,1,1,5,2,971,13,5,4.4,6,14,53,349,1,1,855,moderate,40.76463804,-73.82288736,1,2,235
Condominium,Entire home/apt,4,3,3,3,17,3,117,8,5,2.2,15,25,43,137,1,0,3063,moderate,40.52889944,-73.96534687,4,8,439
House,Hotel room,7,1,3,4,46,2,664,8,1,1.1,10,26,24,315,1,1,197,flexible,40.51738694,-73.8498661,1,1,386
Apartment,Private room,4,2,3,2,21,5,791,13,2,1.4,8,21,41,281,1,0,813,strict_14_with_grace_period,40.82342557,-73.9157254,3,40,297
Condominium,Private room,2,1,2,1,43,5,903,13,5,1.6,4,30,57,300,1,1,2704,strict,40.59916931,-73.79025077,2,12,198
Bed & Breakfast,Shared room,9,4,1,1,45,1,1041,8,4,3.9,25,9,82,328,0,1,2866,strict,40.88373468,-73.72320917,1,47,380
Loft,Entire home/apt,9,4,4,5,45,2,501,16,1,4.3,20,30,61,292,1,1,1255,moderate,40.62898106,-73.77923957,1,34,456
Apartment,Entire home/apt,5,4,2,2,5,2,1002,12,5,4.5,20,38,26,271,0,1,297,strict,40.89883645,-73.87889946,3,40,240
Townhouse,Shared room,2,2,3,2,33,3,697,6,5,0.7,27,27,79,317,0,1,245,strict_14_with_grace_period,40.66256711,-73.80416005,3,8,219
Loft,Entire home/apt,6,4,3,3,38,9,310,9,4,4.4,8,33,19,217,1,1,1862,strict,40.85910617,-73.70288554,4,2,295
Townhouse,Hotel room,3,3,5,4,31,2,915,8,2,0.8,29,35,62,206,1,1,2813,strict_14_with_grace_period,40.84150963,-73.70515067,2,45,368
Bed & Breakfast,Hotel room,9,1,5,6,36,9,1011,13,5,1.4,30,12,12,2,NA,1,239,flexible,40.78422556,-73.94658806,4,44,336
Bed & Breakfast,Entire home/apt,NA,2,5,6,23,7,912,14,4,4.9,0,17,32,146,0,1,1108,strict_14_with_grace_period,40.69341607,-73.96935437,3,12,254
Loft,Private room,6,1,3,3,21,8,814,9,4,0.9,24,22,82,66,0,1,1655,flexible,40.68646375,-73.94124767,3,3,268
Townhouse,Private room,1,3,1,2,22,9,1006,11,5,0.3,23,18,66,358,0,1,1215,moderate,40.63629871,-73.73608819,2,30,251
Loft,Entire home/apt,9,3,5,5,38,2,462,9,4,0.5,13,17,29,154,0,0,1816,flexible,40.67857062,-73.94188867,2,33,409
Townhouse,Entire home/apt,4,1,4,3,45,4,669,10,3,4,5,7,61,209,1,1,1045,moderate,40.67413843,-73.77952075,2,28,287
House,Entire home/apt,7,3,2,2,32,9,999,7,2,2.4,28,31,77,224,1,0,3270,strict,40.68850308,NA,3,37,446
Townhouse,Entire home/apt,5,4,4,4,32,3,981,13,3,4.5,1,4,4,331,0,1,2979,moderate,40.66834021,-73.99452617,2,20,474
House,Entire home/apt,5,1,5,5,45,8,1114,7,4,2.2,4,58,7,123,1,1,888,strict,40.71156329,-73.72861661,2,44,427
Bed & Breakfast,Entire home/apt,7,2,5,4,36,5,931,11,1,4.6,7,12,46,211,0,1,564,strict,40.63501872,-73.79854259,2,32,298
Bed & Breakfast,Entire home/apt,2,4,2,1,10,9,899,18,2,1.5,8,46,44,174,1,0,2845,strict_14_with_grace_period,40.66544769,-73.99964766,2,48,319
House,Entire home/apt,4,3,2,2,14,NA,310,10,3,2.7,23,56,87,262,0,1,3601,flexible,40.55615315,-73.71956771,3,18,260
Loft,Private room,1,3,2,3,8,1,267,12,3,0.3,9,53,54,223,1,1,138,strict,40.61384787,-73.7146991,1,26,159
Condominium,Private room,2,4,3,3,14,9,361,9,4,3.1,10,55,49,279,0,1,852,moderate,40.58556587,-73.83000784,1,25,308
Apartment,Entire home/apt,1,4,2,3,36,2,325,11,5,4.2,8,57,80,267,0,1,49,moderate,40.78962963,-73.99227226,4,15,308
Townhouse,Entire home/apt,7,2,1,1,19,3,92,6,4,3.3,18,1,76,166,0,0,1049,strict,40.56259954,-73.88836511,2,8,321
Loft,Hotel room,3,3,3,4,25,4,1024,9,1,4.5,11,24,49,58,0,1,984,strict,40.81801053,-73.86860329,2,13,271
Condominium,Shared room,8,4,2,1,16,9,1049,9,2,3.3,0,26,67,288,0,1,1349,moderate,40.58168787,-73.79403314,2,47,312
Apartment,Entire home/apt,9,1,5,6,31,5,646,8,3,4.7,24,33,48,168,1,1,1461,strict,40.56762646,-73.95993779,2,42,295
Bed & Breakfast,Private room,6,4,1,1,44,3,611,7,2,2.5,2,53,51,233,0,0,640,moderate,40.79281211,-73.98965867,2,47,390
House,Entire home/apt,4,4,1,1,25,8,128,7,2,3.7,8,25,35,11,0,1,1849,moderate,40.60155093,-73.7846326,3,40,349
Condominium,Entire home/apt,2,2,5,5,15,3,131,11,3,1.5,21,10,14,118,1,1,1418,moderate,40.70753909,-73.87968146,2,44,228
Loft,Entire home/apt,7,2,1,1,14,2,73,12,2,0.2,20,13,28,227,1,0,1374,moderate,40.57604914,-73.73055944,2,39,283
House,Entire home/apt,7,2,4,5,11,9,234,7,5,3,6,58,56,220,0,1,132,strict,40.60936467,-73.7516281,2,48,411
Apartment,Entire home/apt,2,3,1,1,46,7,667,5,2,3.8,26,35,73,192,0,1,450,strict_14_with_grace_period,40.65053332,-73.94775385,2,18,324
Loft,Shared room,3,4,1,1,18,9,360,7,4,4.1,26,29,79,354,0,1,1630,moderate,40.68398874,-73.94545333,2,24,300
House,Entire home/apt,3,1,1,1,37,4,814,12,3,2,19,2,81,107,1,1,2945,moderate,40.80177595,-73.74352613,4,16,277
Apartment,Entire home/apt,7,4,2,1,26,5,173,15,2,3.1,20,56,11,247,1,1,1362,moderate,40.81109627,-73.92364788,1,41,348
Condominium,Private room,6,1,2,3,17,1,446,4,4,1.4,26,24,8,314,0,1,871,moderate,40.6702103,-73.8796854,1,39,192
Bed & Breakfast,Entire home/apt,9,4,5,5,36,3,814,9,5,2.6,14,50,54,346,0,1,1387,strict,NA,-73.8871326,4,44,413
Condominium,Entire home/apt,2,2,5,6,35,5,210,8,3,4.8,23,20,39,150,0,1,590,strict,40.80348217,-73.76779751,4,2,244
Bed & Breakfast,Hotel room,5,1,5,4,8,7,950,13,4,2.5,29,15,4,238,0,1,3158,strict,40.72299456,-73.85028163,1,29,-286
Townhouse,Entire home/apt,6,2,4,3,49,4,657,11,5,3.5,29,58,25,153,1,1,2419,flexible,40.5017291,-73.72198338,1,48,321
Loft,Private room,9,1,2,1,36,2,562,10,3,0.4,19,28,43,61,0,0,2556,moderate,40.63699614,-73.7600187,4,9,222
House,Entire home/apt,7,2,5,6,47,4,580,7,2,1.6,26,52,10,353,1,1,2404,strict,40.73866579,-73.72156665,4,17,544
House,Entire home/apt,8,3,5,5,39,7,1064,16,2,4.1,20,39,46,8,0,0,3183,moderate,40.78765567,-73.91083462,4,24,471
Apartment,Entire home/apt,1,2,1,1,49,2,356,8,3,2.1,0,2,26,90,0,1,3489,moderate,40.67302418,-73.79474569,3,41,334
House,Hotel room,1,3,2,2,39,4,906,10,2,3.1,18,NA,12,306,0,1,2036,strict,40.79111739,-73.70206948,1,1,321
Condominium,Entire home/apt,9,1,2,3,37,4,1029,13,3,4.5,23,35,57,258,1,0,1729,strict_14_with_grace_period,40.65550088,-73.92613785,3,1,304
